device;currentmillis;frameno;success;jobInitTime(millis);detectTime(millis);inputNetTime(millis);inputSize(kb);rssi;battLevel[init;end];recognition;;;
motorola_moto_g9_play;1647918914508;1;true;1647918884950;273;29236;0;-36;0.75;0.75;[0];3;33.5;5
motorola_moto_g9_play;1647918915401;2;true;1647918884950;213;679;0;-36;0.75;0.75;[0];3;37.3;5
Xiaomi_Redmi_Note_7;1647918887058;3;true;1647918885904;280;841;0;-37;0.87;0.87;[0];3;29.7;5
Xiaomi_Redmi_Note_7;1647918887869;4;true;1647918885904;214;596;0;-37;0.87;0.87;[0];3.5;46.2;7
Xiaomi_Redmi_Note_7;1647918889078;5;true;1647918888186;272;586;0;-37;0.87;0.87;[0];3.25;40.8;6
Xiaomi_Redmi_Note_7;1647918889847;6;true;1647918888186;220;548;0;-37;0.87;0.87;[0];3.5;37.4;7
Xiaomi_Redmi_Note_7;1647918891020;7;true;1647918890167;243;564;0;-37;0.87;0.87;[0];2.5;36.8;3
Xiaomi_Redmi_Note_7;1647918891822;8;true;1647918890167;224;577;0;-37;0.87;0.87;[0];2.5;37.4;3
Xiaomi_Redmi_Note_7;1647918893013;9;true;1647918892168;253;558;0;-37;0.87;0.87;[0];2.5;40.1;3
Xiaomi_Redmi_Note_7;1647918893836;10;true;1647918892168;222;600;0;-37;0.87;0.87;[0];2.5;37.3;3
Xiaomi_Redmi_Note_7;1647918894983;11;true;1647918894130;249;566;0;-37;0.87;0.87;[0];3.25;30.8;6
Xiaomi_Redmi_Note_7;1647918895814;12;true;1647918894130;209;621;0;-37;0.87;0.87;[0];3.25;37.2;6
Xiaomi_Redmi_Note_7;1647918896998;13;true;1647918896136;264;560;0;-37;0.87;0.87;[0];3.25;33.3;6
Xiaomi_Redmi_Note_7;1647918897796;14;true;1647918896136;209;588;0;-37;0.87;0.87;[0];2.75;36.2;4
Xiaomi_Redmi_Note_7;1647918899034;15;true;1647918898131;262;602;0;-37;0.87;0.87;[0];2.5;35.3;3
